<<<<<<< Updated upstream
﻿file_name,context
frame_1,"본선 정선 상태. 정면과 우현에 보트, 유람선, 어선 등 4척의 선박이 밀집해 있음. 특히 중앙의 대형 유람선(ID 2)이 항로의 대부분을 차지하고 있어, 우현으로의 기동이 제한되는 복잡한 상황임."
frame_2,"본선 25노트로 증속. 좌현에 보트 1척, 우현에 유람선과 어선 2척이 모두 고속으로 기동 중. 특히 우현의 유람선(ID 2)이 160노트로 가속하고 있어 위협적. 양현 모두 경계가 필요함."
frame_3,본선 139노트로 고속 항해 중. 우현에 어선 1척이 87노트로 항해 중. 다른 선박들은 시야를 벗어나 상황이 단순해짐. 해당 선박과의 안전 거리만 유지하면 됨.
frame_4,"본선 292노트의 초고속 항해 중. 우현의 어선(ID 3)이 속도는 느리나(27노트), 바운딩 박스 크기로 보아 매우 근접해 있음. 고속 항해 중 저속 선박을 피항하는 상황으로, 급격한 변침 시 위험할 수 있음."
frame_5,본선 37노트로 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_6,"본선 446노트의 극초고속 항해 중, 3척의 선박(보트 2, 어선 1)이 동시 출현. 모든 선박이 200노트 이상의 초고속으로 기동하여 제어가 불가능한 혼란 상태. 충돌 위험이 극도로 높으며, 즉시 비상 감속이 필요함."
frame_7,"본선 182노트로 고속 항해 중. 좌현의 유람선과 우현의 어선이 각각 227, 283노트의 초고속으로 접근. 양현에서 고속으로 압박해오는 위험한 상황으로, 회피 기동 공간이 제한됨."
frame_8,본선 572노트의 극초고속 항해 중. 우현의 어선(ID 3)이 234노트의 고속으로 매우 근접해 있음. 본선의 속도가 너무 빨라 충돌 회피가 거의 불가능한 상황. 즉시 최대 감속 및 비상 조치가 필요함.
frame_9,본선 419노트의 초고속 항해 중. 우현의 어선(ID 3)이 여전히 매우 가까운 거리에 있음. 속도를 줄이지 않으면 충돌을 피할 수 없는 상황이 지속되고 있음.
frame_10,"본선 56노트로 감속. 우현의 어선 1척이 79노트로 항해 중. 위험했던 상황은 해소되었으나, 여전히 경계를 유지하며 항해해야 함."
=======
﻿file_name,text
frame_1,"주간, 시계 양호. 선수 정면에 크루즈선(ID:2), 어선(ID:3), 보트(ID:1,5) 등 4척 밀집. 항만 입항 대기 수역으로   추정. 충돌 위험 주시."
frame_2,우현의 크루즈선(ID:2)과 어선(ID:3) 접근 중. 좌현의 보트(ID:1)는 원거리 이동. 다수 선박 동시 조우로 복잡함.
frame_3,타선박 대부분 통과. 선수 정면에 어선(ID:3) 1척만 위치. 직접적인 충돌 위험 감소.
frame_4,선수 우현의 어선(ID:3)이 근접하여 시야 방해. 대형 선박의 사각지대 진입 가능성. 침로 변경 고려.
frame_5,전방 타선박 없음. 주변 선박 모두 안전하게 통과. 안정적인 항해 상태.
frame_6,"선수 정면에 어선(ID:3), 좌현에 보트(ID:1), 우현에 보트(ID:4) 재출현. 통항량 많은 해역으로 판단. 경계 강화."
frame_7,"선수 좌현에 크루즈선(ID:2), 우현에 어선(ID:3) 위치. 두 선박 모두와 안전거리 유지. 현 침로 및 속력 유지."
frame_8,선수 우현의 어선(ID:3)이 매우 근접하여 통과. 선박 항적으로 인한 선체 동요 주의.
frame_9,근접했던 어선(ID:3)은 우현으로 멀어짐. 시야 확보. 주변 타 위협 요소 없음.
frame_10,선수 우현 원거리에 어선(ID:3) 위치. 충돌 위험 없음. 목적지까지 안전 항해 및 경계 유지.
>>>>>>> Stashed changes
