folder,Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1.0,2025-09-22 3:01,0.0,Boat,44.0,24.0,1.0,36.347512,127.385474,97.38,212.0,631.3953,291.7635,120.0811,50.224
frame_1.0,2025-09-22 3:01,1.0,Fishing,292.0,13.0,3.0,36.350184,127.387147,80.02,335.0,789.768,304.9814,265.0324,136.0064
frame_1.0,2025-09-22 3:01,2.0,Cruise,182.0,44.0,4.0,36.35328,127.384706,87.04,288.0,361.1773,320.9975,622.9011,140.8913
frame_1.0,2025-09-22 3:01,4.0,Fishing,252.0,36.0,2.0,36.349464,127.383126,97.38,83.0,330.5771,319.1226,222.1472,111.6667
frame_1.0,2025-09-22 3:01,5.0,Fishing,154.0,41.0,3.0,36.351463,127.385955,96.49,270.0,660.6912,329.5929,195.0421,93.64523
frame_1.0,2025-09-22 3:01,6.0,Fishing,235.0,35.0,3.0,36.352652,127.382564,46.23,69.00001,414.2004,339.7881,153.9086,76.0972
frame_2.0,2025-09-22 3:02,2.0,Cruise,182.0,44.0,4.0,36.358379,127.381022,146.81,288.0,761.5409,322.7356,575.9437,137.0044
frame_2.0,2025-09-22 3:02,5.0,Fishing,154.0,41.0,3.0,36.351237,127.378499,185.1,270.0,526.0249,328.3543,181.4878,95.77701
frame_3.0,2025-09-22 3:03,5.0,Fishing,154.0,41.0,3.0,36.34769,127.370233,148.4,270.0,89.5134,297.7584,219.7498,148.4387
frame_4.0,2025-09-22 3:04,1.0,Fishing,292.0,13.0,3.0,36.355137,127.369556,96.85,335.0,204.1442,286.9254,318.2461,167.0843
frame_4.0,2025-09-22 3:04,2.0,Cruise,182.0,44.0,4.0,36.359259,127.368153,120.83,288.0,201.4158,306.3092,591.8969,173.7383
frame_6.0,2025-09-22 3:06,6.0,Fishing,235.0,35.0,3.0,36.341107,127.394368,247.06,69.00001,217.6193,358.5286,102.7533,43.84119
frame_7.0,2025-09-22 3:07,1.0,Fishing,292.0,13.0,3.0,36.341021,127.380099,210.43,335.0,594.7319,345.4687,150.6184,66.31989
frame_7.0,2025-09-22 3:07,2.0,Cruise,182.0,44.0,4.0,36.337433,127.373208,222.7,288.0,289.4701,352.0734,229.4037,71.39682
frame_7.0,2025-09-22 3:07,5.0,Fishing,154.0,41.0,3.0,36.334121,127.383462,260.4,270.0,79.70813,298.2859,165.5802,147.5305
frame_9.0,2025-09-22 3:09,4.0,Fishing,252.0,36.0,2.0,36.356457,127.372501,317.69,83.0,50.49124,346.2784,155.5072,64.92615
frame_nan,,,,,,,,,,,,,,
frame_nan,,,,,,,,,,,,,,
