Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
2025-09-22 4:01,0,Boat,151,14,4,36.350943,127.385063,97.97,179,285.5001,292.8614,114.1022,47.3819
2025-09-22 4:01,1,Fishing,234,25,1,36.347654,127.384735,97.97,174,582.8705,-293.4627,1960.816,1166.003
2025-09-22 4:01,3,Fishing,105,42,3,36.352983,127.38862,97.96,53,394.9208,326.3064,209.8707,99.30194
2025-09-22 4:02,5,Fishing,102,47,3,36.347735,127.376171,111.49,267,737.4672,319.3875,121.5295,111.2108
2025-09-22 4:03,0,Boat,151,14,4,36.333798,127.382361,177.84,179,436.9407,352.8826,49.30045,14.63638
2025-09-22 4:03,1,Fishing,234,25,1,36.33505,127.390901,120.5,174,-78.5545,349.03,134.2878,60.18774
2025-09-22 4:03,5,Fishing,102,47,3,36.341969,127.378265,132.79,267,507.97,40.1337,1160.391,591.8608
2025-09-22 4:04,5,Fishing,102,47,3,36.338272,127.384712,147.33,267,417.2942,-79.52966,855.8596,797.8248
2025-09-22 4:05,0,Boat,151,14,4,36.327643,127.372583,85.65,179,583.9181,361.9467,41.69342,10.10696
2025-09-22 4:06,1,Fishing,234,25,1,36.344781,127.40357,202.6,174,150.0594,363.8741,89.63223,34.72916
