<<<<<<< Updated upstream
﻿file_name,context
frame_1,"본선 1노트로 정선에 가까운 상태. 좌현에 보트, 우현에 어선이 각각 90노트 이상의 고속으로 접근 중. 양현에 위협 요소가 있어, 어느 한쪽으로의 회피가 곤란한 상황. 두 선박의 동정을 지속적으로 감시해야 함."
frame_2,"본선 176노트로 증속. 좌현의 보트는 통과했으며, 현재 우현의 보트 1척이 145노트의 고속으로 항해 중. 해당 선박과의 안전 거리를 확보하며 항해해야 함."
frame_3,"본선 정선 상태. 좌현에 어선과 유람선, 우현에 어선이 출현하여 다시 복잡한 상황. 특히 우현의 어선(ID 2)이 169노트의 매우 빠른 속도로 접근하고 있어 최우선 경계가 필요함."
frame_4,"본선 12노트로 저속 항해 중. 좌현에 새로운 어선 1척이 105노트의 고속으로 접근. 다른 선박은 시야에서 벗어났으나, 새로운 위협 요소에 대한 경계를 시작해야 함."
frame_5,본선 정선 상태. 좌현의 어선과 우현의 유람선이 모두 고속으로 기동 중. 특히 우현의 유람선(ID 3)이 화면의 상당 부분을  차지하며 근접 통과하고 있어 충돌 위험이 매우 높았음. 사후 경계  강화 필요.
frame_6,"본선 370노트의 초고속으로 항해 중. 좌현의 어선 또한 149노트의 고속으로 항해하고 있음. 두 선박 모두 고속이므로, 작은  침로 변경에도 상황이 급변할 수 있음을 인지하고 항해해야 함."
frame_7,본선 174노트로 고속 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_8,본선 304노트의 초고속 항해 중. 우현에 어선과 보트 2척이 출현. 특히 어선(ID 2)이 267노트의 극초고속으로 항해하고 있어 위협적. 우현 선박들과의 안전 거리 확보에 집중해야 함.
frame_9,본선 정선 상태. 좌현으로 어선 1척이 294노트의 초고속으로 근접하여 횡단하고 있음. 매우 위험한 근접 통과 상황. 해당 선박이 완전히 안전 거리를 확보할 때까지 최대 경계 유지.
frame_10,본선 236노트로 고속 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
=======
﻿file_name,text
frame_1,"야간 항해. 시계는 어둠으로 제한. 선수 좌현에 보트(ID:4), 우현에 어선(ID:1) 식별. 항해등과 RADAR로 타선박 동정   파악."
frame_2,"선수 우현의 보트(ID:4)가 원거리로 이동 중. 야간에는 거리 및 속도 오판 가능성 높으므로, 지속적인 감시 필요."
frame_3,"선수 좌현에 크루즈선(ID:3)과 어선(ID:1,2) 등 3척이 밀집 출현. 야간 다수 선박 조우로 충돌 위험 증가. 피항 계획   수립."
frame_4,선수 좌현에 어선(ID:0) 1척 출현. 어둠 속 식별되지 않은 선박은 큰 위협. 즉시 RADAR로 동정 파악 및 피항 준비.
frame_5,선수 우현으로 대형 크루즈선(ID:3) 통과 중. 좌현에는 어선(ID:2) 위치. 야간 근접 통과로 인한 상호작용 주의.
frame_6,선수 좌현에 어선(ID:2) 저속 항해 중. 주변이 어두워 미식별 장애물 존재 가능성. 전방 경계 강화 및 안전 속력   유지.
frame_7,"전방 타선박 식별되지 않음. 고요한 야간 항해 상태. 주기적인 RADAR 스캐닝 및 항해등, 등화 상태 점검."
frame_8,선수 우현에 어선(ID:2)과 보트(ID:4) 재출현. 두 선박 근접. 연쇄 충돌 위험을 고려한 피항 조동 필요.
frame_9,선수 좌현에 고속 어선(ID:2) 접근. 야간 고속 접근 선박은 매우 위협적. CPA/TCPA 기반 신속한 피항 조치 요구됨.
frame_10,주변 위협 선박 모두 안전하게 통과. 현 시야 내 타선박 없음. 목적지까지 야간 당직 근무 및 안전 운항에 집중.
>>>>>>> Stashed changes
