file_name,context
frame_1,"본선 36노트 항해 중. 시야에 5척의 선박이 탐지되는 매우  복잡한 상황. 좌현, 정면, 우현 전방위에 걸쳐 어선, 보트, 유람선이 고속으로 기동 중. 모든 선박이 잠재적 위험 요소이므로, 전방위 집중 경계 및 비상 회피 계획 수립이 시급함."
frame_2,본선 58노트로 증속. 정면과 우현의 어선 3척이 모두 100노트 이상의 고속으로 접근 중. 특히 정면의 어선(ID 1)이 158노트로 빠르게 다가오고 있어 충돌 위험이 높음. 해당 선박의 침로를 우선적으로 감시해야 함.
frame_3,본선 3.7노트로 감속하여 위치 유지 중. 좌현 전방으로 어선 1척이 152노트의 고속으로 매우 근접하여 통과하고 있음. 우현에도 다른 어선이 있어 회피기동이 제한되는 위험한 상황. 좌현  선박이 완전히 통과할 때까지 최대 경계 유지.
frame_4,"본선 168노트로 고속 항해 재개. 우현에 보트와 어선 2척이 130노트 이상의 빠른 속도로 항해 중. 우현에 선박들이 밀집되어 있으므로, 해당 방향의 경계를 강화하고 안전 거리를 확보해야 함."
frame_5,"본선 86노트로 항해 중. 주변 선박 대부분 통과하였으며, 현재 우현에 보트 1척만 137노트의 고속으로 항해하고 있음. 복잡했던 상황이 해소되었으나, 해당 선박의 움직임은 계속 주시해야 함."
frame_6,"본선 356노트의 초고속으로 단독 항해 중. 시계 내 타 선박 없음. 항해에 지장은 없으나, 비정상적인 고속이므로 전방 장애물 출현에 대비하여 감속 준비가 필요함."
frame_7,본선 정선 상태. 우현에 보트와 유람선 2척이 출현. 특히 유람선(ID 5)이 239노트의 극초고속으로 항해하고 있어 매우 위협적. 해당 선박의 동정을 최우선으로 파악하고 충돌 위험을 분석해야 함.
frame_8,"본선 정선 상태 유지. 우현의 유람선은 통과했으며, 현재 192노트로 항해하는 보트 1척만 남아있음. 위협 수준은 감소했으나,  여전히 고속이므로 경계를 유지해야 함."
frame_9,본선 463노트의 초고속으로 단독 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_10,본선 373노트의 초고속으로 단독 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
