file_name,input,output
frame_1,"일몰 역광, 시계 불량. 좌현 어선(ID:0), 정면 크루즈선(ID:4), 우현 어선(ID:1) 및 보트(ID:3) 등 4척 탐지. 복잡한 조우 상황.
","12시 방향에 크루즈선(ID:4) 1척, 2시 방향에 어선(ID:1) 1척, 4시 방향에 보트(ID:3) 1척, 5시 방향에 어선(ID:0) 1척 식별됨. 시계 불량 없음. 역광으로 인해 시야 확보 어려움 있음.  
"
frame_2,"정면의 크루즈선(ID:4)은 우현으로, 좌현 어선(ID:0)은 침로 유지. 일몰 진행으로 주변 점차 어두워짐. 야간 항해 대비 필요.
","12시 방향에 크루즈선(ID:4)이 7.3 knot로 접근 중이며, 9시 방향에 어선(ID:0)이 3.4 knot로 침로 유지 중. 일몰으로 인해 시야 확보가 어려워 야간 항해 대비 필요.
"
frame_3,"타선박 대부분 통과. 좌현의 어선(ID:0)이 선수 중앙으로 접근 중. 황혼 시간대 거리 판단 어려움. 해당 선박 집중 감시.
","11시 방향에 어선 한 척이 7.4 knot로 접근 중이다. 황혼으로 인해 시야 확보가 어려우며, 선박 식별 및 거리 판단이 불확실하다. 해당 선박에 주의 깊게 감시 필요.
"
frame_4,"선수 우현에 크루즈선(ID:4)와 보트(ID:3) 재출현. 박명 시간대로, 식별되지 않은 위험 상존.
","11시 방향에 크루즈선(ID:4) 한 척이 6.1 knot로 접근 중이며, 10시 방향에 보트(ID:3) 한 척이 4.7 knot로 이동 중이다. 박명 시각으로 인해 시야 확보가 어려우며, 선박 식별이 불확실하다.
"
frame_5,"좌현에 크루즈선(ID:4), 정면에 신규 어선(ID:5) 출현. 야간 항해 돌입. 항해등 식별 및 RADAR 감시 강화.
","2시 방향에 어선 한 척(Ship ID:5, Fishing)이 5.2 knot로 접근 중이다. 10시 방향에 크루즈선 한 척(Ship ID:4, Cruise)이 5.5 knot로 항해 중이다. 시야 조건 양호하나, 야간으로 인해 선박 식별이 어려움. 항해 등 점등 확인 후 RADAR 감시 강화 필요.
"
frame_6,"좌현에 어선(ID:0) 재탐지, 우현에 저속 어선(ID:5) 위치. 야간 다수 선박 조우 상황. 충돌 위험 주시.
","2시 방향에 어선(ID:0) 1.1 knot로 이동 중. 10시 방향에 어선(ID:5) 1.7 knot로 이동 중. 야간 시야 조건 양호. 충돌 위험 주시.
"
frame_7,"우현 어선(ID:5) 접근 중. 야간 조우 규칙(COLREGs)에 의거, 피항 의무 판단 및 동작 준비.
","2시 방향에 어선 한 척이 3.7 knot로 접근 중이다. 야간 조우 상황이므로 COLREGs에 따라 피항 의무를 판단하고 동작 준비를 해야 한다.
"
frame_8,"정면 어선(ID:5) 매우 근접. 야간 거리 오판 가능성 높음. 충돌 회피를 위한 즉각적인 감속 및 변침 필요.
","11시 방향에 어선(ID:5) 한 척이 7.2 knot로 접근 중이다. 거리가 매우 가깝고, 야간이므로 거리 판단이 어려움. 충돌 위험 있으므로 즉각적인 감속 및 변침 필요.
"
frame_9,"긴급 피항으로 근접 어선(ID:5)과 안전거리 확보. 타 등화 식별되지 않음. 경계 및 RADAR 감시 유지.
","주변 선박 및 객체 감지되지 않음. 시야 조건 양호. 경계 및 RADAR 감시 유지.
"
frame_10,"주변 위협 선박 없음. 야간 안정 항해 상태. 목적지까지 안전 운항 및 당직 근무 철저.
","주변 선박 및 객체 감지되지 않음. 야간 안정 항해 상태. 목적지까지 안전 운항 및 당직 근무 철저.
"
