file_name,input,output
frame_1,"야간 항해. 시계는 어둠으로 제한. 선수 좌현에 보트(ID:4), 우현에 어선(ID:1) 식별. 항해등과 RADAR로 타선박 동정 파악.
","12시 방향에 어선(ID:1) 1척, 9시 방향에 보트(ID:4) 1척 식별됨. 어선은 6.8 knot로 218도 방향으로 이동 중이며, 보트는 1.1 knot로 70도 방향으로 이동 중. 시야 조건 양호. 선박 간 거리 상대적으로 멀며, 충돌 위험은 낮음.
"
frame_2,"선수 우현의 보트(ID:4)가 원거리로 이동 중. 야간에는 거리 및 속도 오판 가능성 높으므로, 지속적인 감시 필요.
","11시 방향에 보트(ID:4)가 5.9 knot로 접근 중. 시야 확보 양호하나, 선박 간 거리 감소로 인해 충돌 위험 존재. 지속적인 감시 필요.
"
frame_3,"선수 좌현에 크루즈선(ID:3)과 어선(ID:1,2) 등 3척이 밀집 출현. 야간 다수 선박 조우로 충돌 위험 증가. 피항 계획 수립.
","11시 방향에 어선 1척(ID:2, 3.9 knot), 크루즈선(ID:3, 3.0 knot), 어선(ID:1, 7.6 knot)이 관측됨. 선박 간 상대적 거리가 좁아 충돌 위험 있음. 시야 확보 양호.
"
frame_4,"선수 좌현에 어선(ID:0) 1척 출현. 어둠 속 식별되지 않은 선박은 큰 위협. 즉시 RADAR로 동정 파악 및 피항 준비.
","9시 방향에 어선 1척(Ship ID:0)이 6.3 knot로 접근 중. 선박 식별 가능하며, 시야 조건 양호. 상대적 위치 및 속도 확인 후 항로 조정 필요.
"
frame_5,"선수 우현으로 대형 크루즈선(ID:3) 통과 중. 좌현에는 어선(ID:2) 위치. 야간 근접 통과로 인한 상호작용 주의.
","10시 방향에 어선(ID:2) 1척, 11시 방향에 대형 크루즈선(ID:3) 1척이 관측됨. 어선은 3.0 knot로, 크루즈선은 2.2 knot로 진행 중. 선박 간 상대적 거리가 근접하여 충돌 위험 존재. 시야 조건 양호, 선박 식별 가능.
"
frame_6,"선수 좌현에 어선(ID:2) 저속 항해 중. 주변이 어두워 미식별 장애물 존재 가능성. 전방 경계 강화 및 안전 속력 유지.
","11시 방향에 어선(ID:2)이 2.0 knot로 저속 항해 중. 시야 확보가 원활하나, 선박 간 거리가 점점 좁아지고 있음. 전방 경계 강화 및 안전 속력 유지 필요.
"
frame_7,"전방 타선박 식별되지 않음. 고요한 야간 항해 상태. 주기적인 RADAR 스캐닝 및 항해등, 등화 상태 점검.
","11시 방향에 어선 1척 식별됨. 선박은 4.4 knot로 이동 중이며, 상대적으로 안정적인 항해 상태. 시야 조건은 야간으로, 역광으로 인해 선박 식별이 다소 어려움.
"
frame_8,"선수 우현에 어선(ID:2)와 보트(ID:4) 재출현. 두 선박 근접. 연쇄 충돌 위험을 고려한 피항 조동 필요.
","10시 방향에 어선(ID:2) 1척, 9시 방향에 보트(ID:4) 1척이 정박 중임. 두 선박 간 거리 근접. 충돌 위험 고려하여 피항 조동 필요.
"
frame_9,"선수 좌현에 고속 어선(ID:2) 접근. 야간 고속 접근 선박은 매우 위협적. CPA/TCPA 기반 신속한 피항 조치 요구됨.
","10시 방향에 어선 한 척이 7.5 knot로 접근 중이다. 시야 확보가 원활하나, 고속 접근으로 인해 충돌 위험이 존재하므로 주의해야 한다.
"
frame_10,"주변 위협 선박 모두 안전하게 통과. 현 시야 내 타선박 없음. 목적지까지 야간 당직 근무 및 안전 운항에 집중.
","11시 방향에 어선 1척이 정박 중임. 시야 확보 양호. 자신의 선박은 6.0 knot로 194도 방향으로 이동 중임. 주변 선박 없음.
"
