file_name,input,output
frame_1,"짙은 안개, 시계 극히 제한적. 좌현에 크루즈선(ID:5), 정면에 어선(ID:0) 위치. 무중 항해 규칙에 따라 무신호 발신 및 경계 강화.
","어두운 환경, 시야 확보 어려움. 10시 방향에 어선(ID:0) 1척, 11시 방향에 크루즈선(ID:5) 1척 식별됨. 어선은 7.1 knot로, 크루즈선은 6.4 knot로 이동 중. 자신의 선박은 2.4 knot로 이동 중. 선박 간 상대적 위치 및 속도를 고려할 시 충돌 위험 가능성 존재. 무중 항해 규칙에 따라 무신호 발신 및 경계 강화 필요.
"
frame_2,"선수 전방에 보트(ID:1,3)와 어선(ID:2) 등 3척 추가 출현. 무중 밀집 조우 상황. 충돌 위험 매우 높음. 즉시 극도의 주의 및 감속.
","12시 방향에 보트 1척(217m), 11시 방향에 어선 1척(129m), 3시 방향에 보트 1척(219m)이 관측됨. 각 선박은 6.0~6.5 knot로 이동 중이며, 상대적으로 근접한 상황. 시야 조건 악화로 인해 선박 식별 어려움. 충돌 위험 존재. 즉시 주의 및 감속 필요.
"
frame_3,"전방에 5척(ID:0,1,2,3,5)의 선박이 밀집하여 이동. 시계 없는 상태에서 매우 위험한 상황. ARPA 기능을 최대로 활용하여 각 타겟의 동향 분석.
","12시 방향에 대형 선박 1척(boat, ID:1)이 7.0 knot로 이동 중. 11시 방향에 어선 1척(boat, ID:3)이 3.6 knot로 이동 중. 10시 방향에 어선 1척(fishing, ID:2)이 7.0 knot로 이동 중. 9시 방향에 크루즈선 1척(cruise, ID:5)이 3.2 knot로 이동 중. 역광으로 인해 선박 식별이 어렵다.
"
frame_4,"좌현의 어선(ID:2)이 매우 근접. 보트(ID:3)는 선수 방향으로, 다른 보트(ID:1)는 우현으로 이동 중. 연쇄 충돌 위험성 높음.
","9시 방향에 어선(ID:2)이 근접 중이며, 11시 방향에 보트(ID:3)가, 2시 방향에 보트(ID:1)가 관측됨. 시야 확보 어려움으로 선박 식별이 제한됨. 충돌 위험 존재.
"
frame_5,"주변 선박 대부분 통과. 선수 우현 원거리에 보트(ID:1) 1척만 탐지. 안개는 여전하므로 경계 늦추지 말 것.
","12시 방향에 보트 1척이 7.0 knot로 접근 중이다. 시야 확보가 어려우므로 충돌 위험 주의.
"
frame_6,"선수 우현에 어선(ID:2) 위치. 안개 속에서는 모든 타겟을 잠재적 위험으로 간주하고 CPA/TCPA 지속 확인.
","12시 방향에 어선(ID:2) 1.8 knot로 접근 중. 선박 식별 가능하나, 야간으로 인해 시야 확보 어려움. CPA/TCPA 지속 확인 필요.
"
frame_7,"선수 우현 원거리에 보트(ID:3) 탐지. 안개로 육안 식별 불가. RADAR 정보에 전적으로 의존하여 항해.
","1시 방향 약 2.5해리 거리에 보트(ID:3) 1척 식별됨. 선박의 속도는 3.6 knot, 진행 방향은 35도. 현재 시각은 해질 무렵으로, 해안선이 어두운 하늘과 어우러져 있어 시야 확보가 어려움. 선박 식별이 불확실하므로 RADAR 정보에 의존하여 항해.
"
frame_8,"주변 타선박 없음. 단, 안개 속에서는 언제든 선박이나 장애물이 출현할 수 있음. 자선의 위치를 알리는 무신호 규칙적 발신.
","12시 방향에 어두운 해상이 펼쳐져 있으며, 시야 확보가 어려움. 자신의 선박은 현재 1.8 knot로 이동 중이며, 주변에 타선박은 감지되지 않음. 다만, 야간 조건으로 인해 갑작스러운 장애물 또는 선박 출현 가능성 있음.
"
frame_9,"타선박 없는 상태 지속. 안개가 약간 옅어지나 시계는 여전히 불량. 안전을 위해 현 침로 및 안전 속력 유지.
","12시 방향에 어선 1척이 정박 중임. 안개가 약간 옅어졌으나 시계는 여전히 불량. 안전을 위해 현 침로 및 안전 속력 유지.
"
frame_10,"전방 타선박 없음. 안개 속 항해 지속. 모든 항해 장비의 정상 작동 재확인 및 안전 항해에 만전.
","전방에 타선박 없음. 야간 또는 일몰 후로 보이며, 시야 확보 어려움. 역광으로 인해 선박 식별이 불가능. 모든 항해 장비의 정상 작동 재확인 및 안전 항해에 만전.
"
