file_name,input,output
frame_1,"주간, 시계 양호. 선수 좌현에 어선(ID:0), 정면에 크루즈선(ID:5), 우현에 보트(ID:2)와 어선(ID:4) 위치. 다수 선박 밀집, 복잡한 조우 상황.
","야간, 시야 어려움. 11시 방향에 어선(ID:0) 1척, 5시 방향에 크루즈선(ID:5) 1척, 2시 방향에 보트(ID:2) 1척, 4시 방향에 어선(ID:4) 1척 위치. 선박 간 거리가 짧으며, 다수 선박 밀집 상태. 충돌 위험 가능성 있음.
"
frame_2,"선수 정면의 크루즈선(ID:5)이 우현으로 이동. 선수 하단에 보트(ID:2)가 시야를 가려 위험. 좌현의 어선(ID:0)은 침로 유지.
","12시 방향에 크루즈선(ID:5)이 5.3 knot로 이동 중. 10시 방향에 어선(ID:0)이 4.2 knot로 접근 중. 9시 방향에 보트(ID:2)가 정박 중이며 시야 확보가 어려움.
"
frame_3,"주변 위협 선박 없음. 시야 깨끗함. 안정적인 항해 상태로 복귀.
","12시 방향에 자신의 선박이 존재함. 시야 조건이 어두워 선박 식별이 어려움. 안정적인 항해 상태로 복귀.
"
frame_4,"선수 우현에 어선(ID:3) 출현. 거리가 있어 직접적인 위협은 없으나, 동향 주시 필요.
","1시 방향에 어선(ID:3) 1척이 5.8 knot로 접근 중이다. 거리가 멀어 직접적인 위협은 없으나, 동향 주시 필요.
"
frame_5,"선수 좌현에 어선(ID:3)이 매우 근접하여 시야 차단. 충돌 위험성 높은 긴급 상황. 즉시 피항 조동.
","1시 방향에 어선 한 척이 4.5 knot로 접근 중이며, 충돌 위험이 있으므로 조심히 항해할 것.
"
frame_6,"위험 선박(ID:3) 통과. 선수 우현에 새로운 어선(ID:0) 출현. 짧은 시간 내 연속적인 조우로 경계 강화.
","12시 방향에 어선 1척이 5.9 knot로 접근 중이다. 자신의 선박과의 거리가 매우 가까우며, 충돌 위험이 있음. 역광으로 인해 선박 식별이 어렵다.
"
frame_7,"전방 타선박 없음. 주변 해역 정리됨. 안전 항해 상태. 항해 계획 재점검.
","12시 방향에 자신의 선박이 정박 중임. 주변 해역에 타선박 감지되지 않음. 시야 확보 어려움. 안전 항해 상태 유지.
"
frame_8,"선수 좌현에 어선(ID:4), 우현에 어선(ID:0) 출현. 양측 선박 동시 조우 상황. 두 선박 모두와 안전거리 유지.
","11시 방향에 어선(ID:4) 한 척, 1시 방향에 어선(ID:0) 한 척 식별됨. 양측 선박 동시 조우 상황. 두 선박 모두 4.3~4.6 knot로 이동 중이며, 안전거리 유지 필요. 역광으로 인한 시야 확보 어려움 있음.
"
frame_9,"주변 타선박 없음. 평온한 항해 상태. 해상 상태 잔잔함. 특이사항 없음.
","12시 방향에 자신의 선박이 6.9 knot로 항해 중임. 주변 선박 없음. 해상 상태 잔잔함. 특이사항 없음.
"
frame_10,"전방 위협 선박 없음. 시계 양호. 목적지까지 현 침로와 속력 유지하며 정속 항해.
","전방 위협 선박 없음. 시계 양호. 목적지까지 현 침로와 속력 유지하며 정속 항해.
"
