folder,Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-09-22 4:01,0.0,Fishing,198.0,25.0,4.0,36.353495,127.379936,90.42,7.0,243.3336,317.1468,245.7114,115.0674
frame_1,2025-09-22 4:01,3.0,Cruise,29.0,26.0,1.0,36.355575,127.382631,73.0,1.0,305.2886,278.041,869.9526,236.954
frame_1,2025-09-22 4:01,5.0,Fishing,136.0,21.0,4.0,36.352326,127.38628,107.61,91.00001,1011.643,185.0146,932.9329,342.4926
frame_2,2025-09-22 4:02,1.0,Fishing,108.0,21.0,3.0,36.347395,127.390723,132.22,70.0,442.3746,283.6609,226.6074,172.7032
frame_2,2025-09-22 4:02,2.0,Fishing,299.0,15.0,2.0,36.346201,127.393679,121.92,114.0,470.5149,328.8475,141.7581,94.92816
frame_2,2025-09-22 4:02,5.0,Fishing,136.0,21.0,4.0,36.350658,127.394055,180.79,91.00001,-23.01306,318.6519,257.3845,112.4769
frame_3,2025-09-22 4:03,5.0,Fishing,136.0,21.0,4.0,36.345368,127.400974,148.98,91.00001,451.1151,308.302,109.7009,130.291
frame_4,2025-09-22 4:04,5.0,Fishing,136.0,21.0,4.0,36.339334,127.403051,106.21,91.00001,192.8553,256.308,414.4952,219.7828
frame_5,2025-09-22 4:05,3.0,Cruise,29.0,26.0,1.0,36.335493,127.390826,141.42,1.0,920.4861,187.0352,2061.368,440.4685
frame_5,2025-09-22 4:05,5.0,Fishing,136.0,21.0,4.0,36.334923,127.400373,111.72,91.00001,69.38336,26.45011,782.813,615.413
frame_6,2025-09-22 4:06,0.0,Fishing,198.0,25.0,4.0,36.341406,127.396745,183.13,7.0,424.5883,347.4083,131.1283,62.98151
frame_6,2025-09-22 4:06,5.0,Fishing,136.0,21.0,4.0,36.331757,127.39367,119.31,91.00001,-2745.434,-387.1098,3003.596,1327.23
frame_8,2025-09-22 4:08,0.0,Fishing,198.0,25.0,4.0,36.329816,127.381445,200.0,7.0,528.808,318.0352,210.5056,113.5383

