file_name,text
frame_1,"0.8노트로 저속 항해 중. 좌현에 어선과 보트(ship_id 0, 7)가 있음."
frame_2,"1.4노트로 항해 중. 주변에 5척의 선박(어선 2, 유람선 2, 보트 1)이 출현하여 매우 혼잡한 상황."
frame_3,5.1노트로 증속. 주변에 타 선박 없음.
frame_4,8노트로 고속 항해 중. 주변에 타 선박 없음.
frame_5,1.7노트로 감속. 주변에 타 선박 없음.
frame_6,"6.4노트로 증속. 좌현에 3척의 선박(보트 2, 유람선 1)이 출현."
frame_7,"1.9노트로 감속. 주변에 3척의 선박(유람선 2, 보트 1)이 있음."
frame_8,3.9노트로 증속. 좌현에 보트(ship_id 6) 1척이 위치.
frame_9,"2.3노트로 항해 중. 주변에 3척의 선박(유람선 1, 보트 2)이 있음."
frame_10,"2.1노트로 항해 중. 주변에 3척의 선박(유람선 1, 보트 2)이 위치"
