folder,Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-09-22 4:01,1,Cruise,90,29,3,36.345102,127.386124,95.92,135,181.3651,329.4407,429.2126,122.0099
frame_1,2025-09-22 4:01,2,Fishing,279,37,2,36.349576,127.388409,72.4,39,-130.7262,327.2491,151.0601,97.67935
frame_1,2025-09-22 4:01,4,Boat,75,48,4,36.350731,127.380269,59.85,188,164.5339,177.4089,333.4616,133.1573
frame_2,2025-09-22 4:02,1,Cruise,90,29,3,36.342548,127.391172,105.87,135,214.9179,347.758,332.9997,81.04721
frame_2,2025-09-22 4:02,3,Boat,272,21,4,36.342504,127.390102,105.11,108,413.3599,358.6564,46.60583,11.71194
frame_2,2025-09-22 4:02,5,Cruise,157,42,4,36.347627,127.39475,88.32,120,-64.82629,340.9882,314.1133,96.18646
frame_3,2025-09-22 4:03,1,Cruise,90,29,3,36.343975,127.395087,38.14,135,288.5047,341.8923,353.7002,94.16449
frame_3,2025-09-22 4:03,2,Fishing,279,37,2,36.349036,127.394309,25.48,39,108.4374,342.6773,91.44843,71.12448
frame_3,2025-09-22 4:03,3,Boat,272,21,4,36.343694,127.393902,38.05,108,454.7969,356.8767,47.94272,12.68637
frame_3,2025-09-22 4:03,5,Cruise,157,42,4,36.345215,127.396278,33.78,120,225.3847,343.9087,320.7569,89.65543
frame_5,2025-09-22 4:05,1,Cruise,90,29,3,36.351874,127.388641,190.67,135,137.7032,355.6095,340.524,63.48907
frame_5,2025-09-22 4:05,2,Fishing,279,37,2,36.350831,127.382174,214.43,39,-64.28357,355.7114,136.4419,48.69012
frame_5,2025-09-22 4:05,3,Boat,272,21,4,36.351377,127.387192,189.72,108,234.8924,362.2318,41.24481,9.682953
frame_5,2025-09-22 4:05,5,Cruise,157,42,4,36.353045,127.390591,184.02,120,251.1136,358.4853,302.3902,57.05795
frame_6,2025-09-22 4:06,1,Cruise,90,29,3,36.358122,127.37831,261.9,135,-114.7401,348.8065,415.9978,78.70245
frame_6,2025-09-22 4:06,4,Boat,75,48,4,36.370038,127.391632,228.56,188,788.2325,366.0626,24.93964,8.124451
frame_6,2025-09-22 4:06,5,Cruise,157,42,4,36.359195,127.380781,249.98,120,-1.386108,347.6288,407.0432,81.33627
frame_7,2025-09-22 4:07,1,Cruise,90,29,3,36.361199,127.365627,231.74,135,773.7052,359.3058,306.8264,55.22308
frame_7,2025-09-22 4:07,5,Cruise,157,42,4,36.361825,127.368322,236.84,120,748.5541,355.8021,344.6986,63.05847
frame_8,2025-09-22 4:08,1,Cruise,90,29,3,36.359945,127.35518,177.38,135,869.6992,357.665,286.4349,58.89246
frame_8,2025-09-22 4:08,5,Cruise,157,42,4,36.360166,127.357761,178.68,120,884.5997,352.5338,351.8478,70.36731
frame_9,2025-09-22 4:09,2,Fishing,279,37,2,36.339125,127.355374,65.65,39,409.3396,358.9315,89.20798,43.14771
frame_10,2025-09-22 4:10,2,Fishing,279,37,2,36.33778,127.360238,139.48,39,805.3355,224.1032,587.1491,275.2136
