file_name,context
frame_1,"본선 정선 상태. 좌현에 보트 1척, 선수 좌현에 대형 유람선 1척이 100노트 내외의 고속으로 접근 중. 특히 유람선이 화면의 큰 부분을 차지하며 다가오고 있어, 해당 선박의 동정을 최우선으로 감시해야 함."
frame_2,"본선 13노트로 미속 전진. 좌현에 어선과 보트 2척이 190노트 이상의 초고속으로 접근하고 있으며, 기존의 유람선은 우현으로 빠져나가고 있음. 좌현의 고속 선박들로 인해 충돌 위험이  매우 높은 상황."
frame_3,"본선 483노트의 초고속 항해 중. 정면과 우현의 어선과 보트가 각각 170, 190노트 이상의 매우 빠른 속도로 항해 중. 모든 선박이 초고속으로 기동하고 있어 극도로 위험하며, 즉시 감속하여 상황을 안정시킬 필요가 있음."
frame_4,본선 200노트로 고속 항해 중. 우현에 어선과 보트 2척이 120노트 이상의 속도로 항해하고 있음. 선박들이 우현에 집중되어 있으므로 해당 방향 경계를 강화해야 함.
frame_5,본선 122노트로 항해 중. 정면의 어선(ID 2)이 매우 근접하여 화면 전체를 차지함. 충돌이 임박한 극도로 위험한 상황. 즉시 최대 변침 및 비상 정선으로 충돌을 회피해야 함.
frame_6,"본선 96노트로 항해 중. 정면의 어선과의 충돌 위기는 넘겼으나 여전히 가까운 거리에 위치함. 우현에 다른 보트도 있어, 양 선박을 모두 경계하며 안전거리를 확보해야 함."
frame_7,본선 78노트로 항해 중. 좌현의 보트와 우현의 어선이 양쪽에서 매우 근접하여 협착하는 상황. 회피 기동 공간이 극도로 제한됨. 양 선박과 교신하여 항해 의도를 파악하고 위험을 최소화해야 하는 긴급 상황.
frame_8,본선 158노트로 고속 항해 중. 시계 내 타 선박 없음. 위험했던 상황이 해소됨.
frame_9,"본선 407노트의 초고속 항해 중. 우현에 유람선 1척이 191노트의 고속으로 항해 중. 안전 거리는 확보되어 있으나, 양 선박 모두 고속이므로 주의가 필요함."
frame_10,본선 21노트로 감속. 시계 내 타 선박 없음. 안전한 항해  상황.
