Timestamp,ShipID,ShipType,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
2025-09-22 2:01,0,Fishing,267,47,3,36.345655,127.384254,96.23,125,267.9674,213.7045,372.0428,293.1117
2025-09-22 2:01,3,Fishing,135,23,3,36.349144,127.381062,100.77,189,417.9106,328.5278,174.5604,95.47852
2025-09-22 2:01,4,Cruise,159,43,2,36.351749,127.384087,84.82,261,537.9872,280.5942,897.6656,231.2444
2025-09-22 2:02,3,Fishing,135,23,3,36.342509,127.381501,138.39,189,-28.98352,264.6317,366.6743,205.4561
2025-09-22 2:02,4,Cruise,159,43,2,36.349914,127.377471,177.44,261,553.0957,328.7204,606.4894,123.6207
2025-09-22 2:03,4,Cruise,159,43,2,36.34478,127.369872,165.95,261,492.7181,347.5321,171.6199,81.55243
2025-09-22 2:05,0,Fishing,267,47,3,36.363731,127.396779,144.46,125,212.1199,364.7675,82.80658,33.10287
2025-09-22 2:05,2,Boat,133,28,2,36.345782,127.400089,150.81,37,897.6879,361.0235,15.88232,10.44107
2025-09-22 2:06,2,Boat,133,28,2,36.33943,127.393709,200.43,37,570.5318,350.6579,64.33899,15.90802
2025-09-22 2:06,6,Boat,80,25,3,36.33746,127.39447,177.89,60,621.0384,355.8724,57.29474,13.23569
2025-09-22 2:07,4,Cruise,159,43,2,36.334304,127.382315,81.94,261,997.0745,2.53717,4455.241,853.0576
2025-09-22 2:09,2,Boat,133,28,2,36.33715,127.390057,162.53,37,115.4063,215.0066,303.6028,96.61386
2025-09-22 2:10,2,Boat,133,28,2,36.340429,127.4,236.45,37,1013.075,303.8487,157.5103,41.50854
