file_name,text
frame_1,1.2노트로 항해 중. 좌현에 유람선(ship_id 6) 1척이 매우 근접해 있음.
frame_2,3.3노트로 증속. 좌현에 어선(ship_id 1) 1척이 위치.
frame_3,"0.3노트로 감속. 주변에 어선 3척(ship_id 0, 1, 2)이 나타나 해상이 복잡해짐."
frame_4,3.1노트로 증속. 좌현에 어선(ship_id 0) 1척이 있음.
frame_5,2노트로 항해 중. 주변에 타 선박 없음.
frame_6,4.4노트로 증속. 우현 선미 쪽에 유람선(ship_id 5) 1척이 있음.
frame_7,1.4노트로 감속. 우현에 어선(ship_id 0) 1척이 위치.
frame_8,"5.2노트로 증속. 좌현에 어선 3척(ship_id 0, 1, 2)이 밀집하여 항해 중."
frame_9,"3.9노트로 항해 중. 우현에 어선 2척(ship_id 0, 7)이 있음."
frame_10,1.1노트로 감속. 전방에 어선(ship_id 7) 1척이 시야를 가릴 정도로 매우 근접하여 충돌 위험이 최고조에 달함.
