file_name,context
frame_1,"본선 정선 상태. 정면과 우현에 어선, 보트, 유람선 등 4척의 선박이 밀집하여 기동 중. 특히 우현의 유람선(ID 5)이 화면의 큰 부분을 차지하고 있어 위협적. 복잡한 상황으로, 전방위 경계가 필요함."
frame_2,"본선 98노트로 증속. 좌현의 보트(ID 2)와 우현의 유람선(ID 5)이 화면 대부분을 차지하며 양쪽에서 극도로 근접함. 회피 공간이 없는 매우 위험한 협착 상황으로, 충돌 가능성이 극히 높음. 즉시 비상 감속 및 교신 필요."
frame_3,본선 69노트로 항해 중. 시계 내 타 선박 없음. 이전의 극도로 위험했던 상황은 해소됨. 항해 장비 점검 및 주변 경계 재개.
frame_4,"본선 71노트로 항해 중. 좌현에 어선 1척이 76노트의 속도로 항해 중. 위협 수준은 낮으나, 지속적인 동정 감시가 필요함."
frame_5,"본선 113노트로 증속. 좌현의 어선(ID 3)이 매우 근접하여  통과하고 있음. 고속 항해 중 근접 통과는 위험하므로, 해당 선박이 완전히 안전거리를 확보할 때까지 경계를 유지해야 함."
frame_6,본선 5.7노트로 감속. 좌현에 새로운 어선 1척이 184노트의 초고속으로 접근 중. 갑작스러운 고속선 출현으로 충돌 위험이 발생함. 해당 선박의 침로를 예의주시해야 함.
frame_7,본선 77노트로 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_8,"본선 정선 상태. 좌현의 어선이 244노트, 우현의 어선이 172노트의 초고속으로 접근 중. 양현에서 동시에 고속선이 접근하여  위험도가 높음. 두 선박의 CPA/TCPA를 시급히 분석해야 함."
frame_9,본선 17노트로 저속 항해 중. 시계 내 타 선박 없음. 안전한 항해 상황.
frame_10,본선 560노트의 초고속으로 단독 항해 중. 시계 내 타 선박 없음. 속도가 매우 높아 전방 장애물 출현에 대한 즉각적인 대응이 어려우므로 감속이 권고됨.
