file_name,Timestamp,my_ship,ship_id,ship_type,Length,Width,Draft,Latitude,Longitude,Knot,heading,bbox_x,bbox_y,bbox_width,bbox_height
frame_1,2025-10-30 17:01:00,1,3,Boat,17,43,3,36.340318,127.391844,2.91,257.07,0.0000,0.0000,0.0000,0.0000
frame_1,2025-10-30 17:01:00,0,5,Fishing,165,46,4,36.344596,127.377948,0.70,50.70,838.0007,363.0120,115.6592,55.4487
frame_2,2025-10-30 17:02:00,0,0,Cruise,155,13,1,36.344669,127.386381,1.19,29.39,0.2844,310.6292,610.3849,140.3848
frame_2,2025-10-30 17:02:00,1,3,Boat,17,43,3,36.338635,127.392537,0.09,328.20,0.0000,0.0000,0.0000,0.0000
frame_2,2025-10-30 17:02:00,0,4,Boat,22,17,3,36.350175,127.388513,1.09,129.39,639.1359,397.4974,46.0161,16.2463
frame_2,2025-10-30 17:02:00,0,6,Fishing,180,33,2,36.349003,127.389726,1.23,290.04,652.6776,357.5401,129.2390,69.9049
frame_3,2025-10-30 17:03:00,0,0,Cruise,155,13,1,36.344749,127.389536,1.06,304.33,453.8280,253.8096,534.3384,249.1011
frame_3,2025-10-30 17:03:00,0,1,Fishing,228,48,3,36.349883,127.380864,0.56,242.53,337.2480,368.3194,86.0837,41.4269
frame_3,2025-10-30 17:03:00,1,3,Boat,17,43,3,36.338456,127.392648,0.00,323.47,0.0000,0.0000,0.0000,0.0000
frame_3,2025-10-30 17:03:00,0,5,Fishing,165,46,4,36.348266,127.384298,2.16,32.47,386.8315,363.7646,106.6344,53.4603
frame_4,2025-10-30 17:04:01,0,1,Fishing,228,48,3,36.348522,127.379913,0.70,340.74,409.9535,358.5296,89.8528,67.2907
frame_4,2025-10-30 17:04:01,1,3,Boat,17,43,3,36.342223,127.388125,3.45,312.91,0.0000,0.0000,0.0000,0.0000
frame_5,2025-10-30 17:05:01,1,3,Boat,17,43,3,36.350740,127.383076,6.64,353.15,0.0000,0.0000,0.0000,0.0000
frame_6,2025-10-30 17:06:01,1,3,Boat,17,43,3,36.369725,127.380838,5.17,356.58,0.0000,0.0000,0.0000,0.0000
frame_7,2025-10-30 17:07:01,0,0,Cruise,155,13,1,36.347869,127.386612,1.57,222.38,784.3837,352.6360,239.6163,60.0105
frame_7,2025-10-30 17:07:01,1,3,Boat,17,43,3,36.366257,127.383418,0.21,136.88,0.0000,0.0000,0.0000,0.0000
frame_7,2025-10-30 17:07:01,0,5,Fishing,165,46,4,36.352218,127.387296,0.91,323.33,824.7958,363.0673,69.6245,55.3027
frame_7,2025-10-30 17:07:01,0,6,Fishing,180,33,2,36.352352,127.385999,1.15,198.87,883.5305,361.8396,95.0889,58.5460
frame_8,2025-10-30 17:08:01,0,0,Cruise,155,13,1,36.346072,127.382451,1.81,125.53,921.9191,338.1274,102.0809,87.7707
frame_8,2025-10-30 17:08:01,0,2,Fishing,42,29,4,36.353863,127.402634,0.80,265.08,156.0140,369.7993,63.2072,37.5172
frame_8,2025-10-30 17:08:01,1,3,Boat,17,43,3,36.364205,127.385200,0.51,146.67,0.0000,0.0000,0.0000,0.0000
frame_8,2025-10-30 17:08:01,0,5,Fishing,165,46,4,36.354303,127.384959,1.42,43.70,882.9841,351.6620,141.0159,85.4343
frame_8,2025-10-30 17:08:01,0,7,Boat,298,47,2,36.348609,127.396633,1.50,265.75,457.9431,392.5308,33.6136,9.4596
frame_9,2025-10-30 17:09:02,0,0,Cruise,155,13,1,36.343094,127.379544,1.35,78.74,746.8080,355.8967,277.1920,53.7717
frame_9,2025-10-30 17:09:02,0,1,Fishing,228,48,3,36.350801,127.384090,0.93,245.24,714.7511,358.5908,130.4702,67.1292
frame_9,2025-10-30 17:09:02,1,3,Boat,17,43,3,36.361498,127.386612,0.00,171.03,0.0000,0.0000,0.0000,0.0000
frame_9,2025-10-30 17:09:02,0,4,Boat,22,17,3,36.345588,127.383984,0.69,63.86,706.9137,394.6877,43.8075,11.8450
frame_9,2025-10-30 17:09:02,0,5,Fishing,165,46,4,36.357701,127.383769,1.28,108.87,925.3104,296.8298,98.6896,230.2969
frame_9,2025-10-30 17:09:02,0,6,Fishing,180,33,2,36.347467,127.381796,1.22,80.14,804.0197,364.8382,113.3993,50.6240
frame_9,2025-10-30 17:09:02,0,7,Boat,298,47,2,36.350073,127.392029,2.20,251.72,287.6110,397.3791,54.7214,14.8469
frame_10,2025-10-30 17:10:03,0,0,Cruise,155,13,1,36.340462,127.378630,0.86,60.68,873.9351,342.4626,150.0649,79.4760
frame_10,2025-10-30 17:10:03,0,1,Fishing,228,48,3,36.348435,127.384232,0.99,278.52,836.9024,336.4739,187.0976,125.5602
frame_10,2025-10-30 17:10:03,1,3,Boat,17,43,3,36.354242,127.387713,7.27,175.07,0.0000,0.0000,0.0000,0.0000
frame_10,2025-10-30 17:10:03,0,4,Boat,22,17,3,36.344338,127.384893,0.70,46.69,728.6990,400.3866,56.7258,19.8409
frame_10,2025-10-30 17:10:03,0,7,Boat,298,47,2,36.350858,127.385568,2.82,224.28,890.9605,427.3118,133.0395,69.8718
