file_name,text
frame_1,3노트로 순항 중. 주변에 타 선박이 없어 항해에 지장 없음.
frame_2,감속 및 우현 변침 중. 전방에 대형 유람선(ship_id 1)을 포함한 4척의 선박이 갑자기 나타나 통항량이 급증함. 전방위 경계 강화.
frame_3,1.5노트로 저속 항해. 주변 4척의 선박과 함께 통항 중. 특히 좌현의 어선(ship_id 4)과 우현 선미의 유람선(ship_id 1)을 주시.
frame_4,"3노트로 증속. 선수 방향에 어선 2척(ship_id 0, 3)이 있어 안전 거리를 유지하며 항해."
frame_5,감속 및 좌현 변침. 좌현 선수에 어선(ship_id 0) 1척이 매우 근접하여 충돌 위험이 높은 상황. 즉각적인 피항 조치가 필요함.
frame_6,저속으로 우현 선회하며 위험 상황에서 벗어남. 근접했던 어선(ship_id 0)과의 안전거리가 확보됨.
frame_7,"3.3노트로 증속하며 우현 변침 중. 좌현의 어선 2척(ship_id 3, 5)과 안전한 이격 거리를 유지."
frame_8,8노트로 증속하여 고속 항해 중. 전방에 유람선(ship_id 1) 등 4척의 선박이 다시 나타나 해역이 복잡해짐. 충돌 회피에 각별한 주의 요구.
frame_9,급감속 및 좌현으로 크게 변침하여 이전의 복잡한 상황을 회피함. 우현 선미에 보트 1척(ship_id 6)만 관측됨.
frame_10,3.2노트로 증속하며 우현 변침. 우현에 어선 1척(ship_id 4)만 위치하여 항해 상황이 안정됨. 경계는 계속 유지.
