file_name,text
frame_1,"일몰 역광, 시계 불량. 좌현 어선(ID:0), 정면 크루즈선(ID:4), 우현 어선(ID:1) 및 보트(ID:3) 등 4척 탐지. 복잡한 조우 상황."
frame_2,"정면의 크루즈선(ID:4)은 우현으로, 좌현 어선(ID:0)은 침로 유지. 일몰 진행으로 주변 점차 어두워짐. 야간 항해 대비 필요."
frame_3,타선박 대부분 통과. 좌현의 어선(ID:0)이 선수 중앙으로 접근 중. 황혼 시간대 거리 판단 어려움. 해당 선박 집중 감시.
frame_4,"선수 우현에 크루즈선(ID:4)과 보트(ID:3) 재출현. 박명 시간대로, 식별되지 않은 위험 상존."
frame_5,"좌현에 크루즈선(ID:4), 정면에 신규 어선(ID:5) 출현. 야간 항해 돌입. 항해등 식별 및 RADAR 감시 강화."
frame_6,"좌현에 어선(ID:0) 재탐지, 우현에 저속 어선(ID:5) 위치. 야간 다수 선박 조우 상황. 충돌 위험 주시."
frame_7,"우현 어선(ID:5) 접근 중. 야간 조우 규칙(COLREGs)에 의거, 피항 의무 판단 및 동작 준비."
frame_8,정면 어선(ID:5) 매우 근접. 야간 거리 오판 가능성 높음. 충돌 회피를 위한 즉각적인 감속 및 변침 필요.
frame_9,긴급 피항으로 근접 어선(ID:5)과 안전거리 확보. 타 등화 식별되지 않음. 경계 및 RADAR 감시 유지.
frame_10,주변 위협 선박 없음. 야간 안정 항해 상태. 목적지까지 안전 운항 및 당직 근무 철저.
