# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202508101100 181   7  2.3  -9 -9.0   -9  998.4 1002.2 -9  -9.0  27.1  19.1  62.0  22.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   0   -9 -         -9  -9  -9  5000  1.0  2.93 -9  34.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101200 181   9  2.7  -9 -9.0   -9  998.1 1001.9  8  -0.6  28.1  18.4  56.0  21.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   0   -9 -         -9  -9  -9  5000  1.0  3.45 -9  35.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101300 181  36  1.6  -9 -9.0   -9  997.8 1001.6 -9  -9.0  28.7  18.1  53.0  20.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0  3.42 -9  36.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101400 181  34  2.3  -9 -9.0   -9  997.5 1001.2 -9  -9.0  29.9  18.9  52.0  21.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  5000  1.0  3.35 -9  35.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101500 181  32  2.0  -9 -9.0   -9  997.4 1001.1  7  -0.8  30.4  18.4  49.0  21.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        3   0   -9 -         -9  -9  -9  5000  1.0  3.07 -9  34.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101600 181   2  2.3  -9 -9.0   -9  997.3 1001.0 -9  -9.0  30.6  19.6  52.0  22.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 -         -9  -9  -9  5000  1.0  2.55 -9  32.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101700 181  29  1.6  -9 -9.0   -9  997.6 1001.3 -9  -9.0  30.9  18.9  49.0  21.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   0   -9 -         -9  -9  -9  5000  1.0  1.92 -9  31.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101800 181  29  1.4  -9 -9.0   -9  997.7 1001.4  3   0.3  30.6  20.2  54.0  23.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000  1.0  1.18 -9  30.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508101900 181  32  0.7  -9 -9.0   -9  998.1 1001.9 -9  -9.0  28.6  21.1  64.0  25.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4994  1.0  0.44 -9  29.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202508102000 181   0  0.3  -9 -9.0   -9  999.0 1002.8 -9  -9.0  25.2  22.0  83.0  26.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   0   -9 -         -9  -9  -9  3705  0.0  0.02 -9  27.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
