file_name,text
frame_1,본선 정선 상태. 우현에 어선 2척이 저속으로 접근 중. 충돌 위험은 낮으나 예의주시 필요.
frame_2,우현으로 미속 전진 시작. 전방 어선(ship_id 1)이 우현 선수 방향으로 접근하고 있어 주의 요망.
frame_3,5노트로 증속하며 우현 변침 중. 우현 선수 어선(ship_id 1)과 가까워지고 있어 충돌 위험 증가.
frame_4,"좌현으로 변침, 4.8노트로 항해. 우현에 새로운 유람선(ship_id 5) 출현, 동향 감시 시작."
frame_5,감속 및 우현 변침. 주변에 5척의 선박이 밀집하여 통항량이 매우 복잡함. 전방위 경계 강화.
frame_6,"7.4노트로 증속. 주변 선박 3척. 특히 우현 선미의 선박들(ship_id 2, 6)의 추월 가능성에 대비."
frame_7,감속 및 우현 선회. 우현에 보트(ship_id 7) 1척 근접. 안전 거리 확보에 집중.
frame_8,"2.2노트로 증속하며 우현 선회 중. 주변 선박 3척이 분산되어 있으나, 지속적인 동향 감시 필요."
frame_9,4.5노트로 증속하며 좌현 변침. 전방에 대형 유람선(ship_id 4)이 있어 충돌 위험 평가 및 피항 준비.
frame_10,3.8노트로 항해 중. 좌현에 어선(ship_id 6) 1척만 관측됨. 해상 상황이 안정화되었으나 경계는 유지.
