file_name,text
frame_1,"주간 항해, 시계 양호, 해상 상태 잔잔함. 전방에 타선박 없음. 특이사항 없는 항해 상황."
frame_2,"선수 전방에 어선 3척(ID:0,1,5)과 크루즈선(ID:3) 출현. 선박 밀집도 높아짐. 충돌 위험 평가 및 피항 계획 수립 필요."
frame_3,전방 선박 대부분 통과. 선수 우현 원거리에 고속 보트(ID:4) 1척 식별. 직접 위협은 없으나 동향 주시.
frame_4,"선수 우현에 크루즈선(ID:3), 어선(ID:5), 보트(ID:4)가 근접 밀집. 선박 간 상호작용에 의한 예측 불허의 위험 발생 가능. 집중   감시."
frame_5,선수 좌현으로 대형 크루즈선(ID:3) 근접 통과. 시야 제한 및 선체 상호작용 발생. 우현의 보트(ID:4)는 원거리에 위치.
frame_6,주변 위협 선박 없음. 선수 우현 원거리에 보트(ID:4) 1척 위치. 안전거리 확보됨. 안정적인 항해 상태.
frame_7,"선수 우현에 어선(ID:0) 출현. 거리는 있으나, 상대선의 침로 변경 가능성에 대비."
frame_8,"선수 좌현에 저속 어선(ID:0), 우현에 고속 어선(ID:5) 위치. 양측 선박 동시 조우 상황. 섬세한 조함 필요."
frame_9,선수 우현의 어선(ID:5)이 근접 상태 유지. 상대선 동향 불분명. RADAR 및 육안 감시 지속.
frame_10,선수 정면에 어선(ID:5)이 극히 근접하여 시야 차단. 충돌 임박 상황. 즉시 전속 후진 및 우현 전타. 비상 신호 발신.
