file_name,text
frame_1,"본선 정선 상태. 우현에 보트 2척과 어선 1척(ship_id 1, 2, 5)이 있음."
frame_2,1노트로 미속 전진. 좌현 선수에 대형 어선(ship_id 5)이 매우 근접하여 충돌 위험이 높음.
frame_3,3.6노트로 증속. 주변에 타 선박 없음.
frame_4,0.6노트로 감속. 주변에 타 선박 없음.
frame_5,"2.6노트로 증속. 우현에 유람선, 어선, 보트(ship_id 3, 4, 6) 등 3척이 새로 출현."
frame_6,3.9노트로 증속. 우현의 3척의 선박이 본선과 함께 항해 중.
frame_7,2노트로 감속. 우현의 유람선(ship_id 3)이 가까워지고 있어 주의 필요.
frame_8,1.1노트로 저속 항해. 좌현 선수 방향에 보트(ship_id 2) 1척 출현.
frame_9,1.3노트로 항해 중. 이전의 보트(ship_id 2)가 이제 우현 선미 방향에 위치.
frame_10,"본선 정선 상태. 좌현에 유람선(ship_id 3), 우현에 보트(ship_id 2)가 근접해 있어 충돌 위험이 높은 상황."
