# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202505010000 131   0  0.4  -9 -9.0   -9 1004.6 1011.4  8  -0.7  18.0   5.8  45.0   9.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  4101 -9.0 -9.00 -9  15.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010100 131  29  1.1  -9 -9.0   -9 1004.2 1011.1 -9  -9.0  16.5   6.0  50.0   9.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   2   73 -         -9  -9  -9  4083 -9.0 -9.00 -9  14.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505010200 131   0  0.2  -9 -9.0   -9 1004.2 1011.2 -9  -9.0  15.5   5.3  51.0   8.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   4   73 -         -9  -9  -9  3752 -9.0 -9.00 -9  13.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505010300 131  20  0.6  -9 -9.0   -9 1003.9 1010.9  7  -0.5  15.3   6.0  54.0   9.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        4   0   -9 Ci         1   0   0  4408 -9.0 -9.00 -9  13.2 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010400 131  23  0.9  -9 -9.0   -9 1003.8 1010.8 -9  -9.0  15.4   4.1  47.0   8.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  13.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010500 131  18  0.5  -9 -9.0   -9 1003.2 1010.2 -9  -9.0  15.1   1.2  39.0   6.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  5000 -9.0 -9.00 -9  12.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010600 131  18  0.6  -9 -9.0   -9 1002.9 1009.9  7  -1.0  15.0   0.4  37.0   6.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        1   1   15 Sc         0   0   5  5000  0.0  0.00 -9  12.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010700 131  20  0.8  -9 -9.0   -9 1002.5 1009.4 -9  -9.0  15.6  -1.0  32.0   5.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        5   1   20 ScCi       1   0   5  3618  0.0  0.36 -9  14.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010800 131  20  1.3  -9 -9.0   -9 1001.9 1008.8 -9  -9.0  17.2  -1.4  28.0   5.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   0   -9 Cs         8   0   0  4837  0.5  0.87 -9  18.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505010900 131  18  1.3  -9 -9.0   -9 1001.1 1007.9  7  -2.0  18.9   2.6  34.0   7.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   2   15 ScCs       8   0   5  3931  0.0  1.22 -9  20.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505011000 131  18  1.9  -9 -9.0   -9 1000.1 1006.9 -9  -9.0  20.2   5.4  38.0   9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        8   0   -9 Cs         8   0   0  4302  0.0  1.27 -9  22.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505011100 131  20  1.7  -9 -9.0   -9  998.8 1005.6 -9  -9.0  20.8   5.5  37.0   9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8   15 ScAs      -9   2   5  4934  0.0  1.18 -9  21.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505011200 131  29  3.1  -9 -9.0   -9 1000.4 1007.3  5  -0.6  17.2  10.3  64.0  12.5    0.0    0.0    0.0   -9.0   -9.0   -9.0   -9.0 60 62 01                      10   8   15 ScAs      -9   2   5  4388  0.0  0.11 -9  18.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011300 131   7  2.0  -9 -9.0   -9 1000.6 1007.6 -9  -9.0  14.6  12.2  86.0  14.2    6.9    6.9    6.9   -9.0   -9.0   -9.0   -9.0 63 66 01                      10   8    5 StNs      -9   2   7   707  0.0  0.04 -9  16.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011400 131  36  1.0  -9 -9.0   -9  998.8 1005.7 -9  -9.0  15.1  12.9  87.0  14.9    6.9   13.8   13.8   -9.0   -9.0   -9.0   -9.0 63 66 01                      10   7    8 ScAs      -9   2   5  1656  0.0  0.08 -9  16.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011500 131  25  0.8  -9 -9.0   -9  998.3 1005.2  8  -2.1  15.2  12.8  86.0  14.8    1.1   14.9   14.9   -9.0   -9.0   -9.0   -9.0 61 62 01                      10   8    8 ScAs      -9   2   5   965  0.0  0.31 -9  17.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011600 131  29  0.7  -9 -9.0   -9  998.2 1005.1 -9  -9.0  15.3  13.8  91.0  15.8    5.0   19.9   19.9   -9.0   -9.0   -9.0   -9.0 63 66 01                      10   8    2 StNs      -9   2   7   427  0.0  0.04 -9  17.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011700 131  29  1.0  -9 -9.0   -9  997.7 1004.6 -9  -9.0  15.2  13.5  90.0  15.5    6.7   26.6   26.6   -9.0   -9.0   -9.0   -9.0 63 66 01                      10   7    8 ScAs      -9   2   5  2208  0.0  0.03 -9  17.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011800 131  27  1.2  -9 -9.0   -9  998.0 1004.9  5  -0.3  15.7  13.7  88.0  15.7    0.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 21 62 01                      10   7    8 ScAs      -9   2   5  3951  0.0  0.12 -9  17.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202505011900 131  27  1.2  -9 -9.0   -9  998.8 1005.7 -9  -9.0  15.6  13.6  88.0  15.6   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    2 -         -9  -9  -9  2109  0.0  0.00 -9  17.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505012000 131  27  2.0  -9 -9.0   -9  999.6 1006.5 -9  -9.0  15.1  12.2  83.0  14.2   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9    3 -         -9  -9  -9  1777  0.0  0.00 -9  16.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505012100 131  27  0.9  -9 -9.0   -9  999.6 1006.5  1   1.6  14.8  12.4  86.0  14.4   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0  2 62 -                        9   7    5 ScCi       2   0   5  1161 -9.0 -9.00 -9  15.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  1
202505012200 131  27  1.8  -9 -9.0   -9 1000.5 1007.5 -9  -9.0  14.1  12.1  88.0  14.1   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   6    2 -         -9  -9  -9  1100 -9.0 -9.00 -9  15.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505012300 131  27  1.4  -9 -9.0   -9 1001.8 1008.8 -9  -9.0  12.8   9.4  80.0  11.8   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        6   5    4 -         -9  -9  -9  1266 -9.0 -9.00 -9  14.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505020000 131  27  1.3  -9 -9.0   -9 1001.9 1008.9  2   2.4  11.8   7.6  76.0  10.4   -9.0   26.6   26.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        2   2   10 Sc         0   0   5  1274 -9.0 -9.00 -9  13.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3  2
202505020100 131  27  1.2  -9 -9.0   -9 1002.1 1009.2 -9  -9.0  11.0   6.3  73.0   9.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1425 -9.0 -9.00 -9  12.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202505020200 131  25  1.5  -9 -9.0   -9 1002.2 1009.3 -9  -9.0  10.2   6.1  76.0   9.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        0   0   -9 -         -9  -9  -9  1486 -9.0 -9.00 -9  11.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
